# Kaggle's tag vocabulary, from Meta Kaggle (kaggle/meta-kaggle, Tags.csv).
# A keyword outside this list is silently dropped at push time: the CLI prints
# 'not valid tags and could not be added' and the upload otherwise succeeds.
# Refresh: kaggle datasets download kaggle/meta-kaggle -f Tags.csv --unzip
name	slug	kernel_count	dataset_count
history	history	371	3039
dnn	dnn	370	117
evaluation	evaluation	368	231
resnet	resnet	366	45
demographics	demographics	363	1258
learn	learn	360	13
europe	europe	352	1878
drugs and medications	drugs-and-medications	350	1926
ratings and reviews	product-reviews-and-price-comparisons	350	6491
eyes and vision	vision-care	350	3369
multimodal	multimodal-data	348	1023
websites	web-sites	338	596
genetics	human-genetics	333	500
employment	employment	330	1027
simulations	simulation-games	326	902
video	video-data	317	1517
brazil	brazil	316	944
signal processing	signal-processing	312	430
tabular classification	tabular-classification	309	200
law	law	302	15478
pre-trained model	pre-trained-model	301	519726
electronics	electronics	295	12786
engineering	engineering	289	745
natural disasters	natural-disasters	281	412
renewable energy	renewable-energy	275	2519
government	government	274	4927
image augmentation	image-augmentation	271	248
biotechnology	biotechnology	262	555
pollution	pollution	256	561
social issues and advocacy	social-issues-and-advocacy	253	5849
cities and urban areas	cities	247	1177
asia	asia	243	1769
cyber security	cyber-security	242	793
spanish	spanish	241	320
synthetic	synthetic-data	236	2118
electricity	electricity	235	2263
yolov8	yolov8	234	342
people and society	society-and-social-sciences	229	1098
audio classification	audio-classification	226	366
corrplot	corrplot	226	24
translation	translation	220	265
efficientnet	efficientnet	220	51
arabic	arabic	216	373
adversarial learning	adversarial-learning	216	165
income	income	215	461
comics and animation	comics-and-animation	213	1819
primary and secondary schools	primary-and-secondary-schooling-(k-12)	213	2302
linguistics	linguistics	210	1027
mobile and wireless	mobile-web	209	1736
question answering	question-answering	209	374
json	json	208	454
math	math	207	90
email and messaging	email-and-messaging	203	5897
cooking and recipes	cooking-and-recipes	203	2448
nutrition	nutrition	199	2225
lubridate	lubridate	196	49
portuguese	portuguese	194	268
caret	caret	190	17
gambling	gambling	186	1036
plants	plants	182	545
gender	gender	181	343
board games	board-games	172	431
retrieval/ranking	retrieval-ranking	170	156
auto racing	auto-racing	168	1061
people	people	167	1019
oil and gas	oil-and-gas	165	1846
text-to-text generation	text-to-text-generation	155	188
japan	japan	154	232
summarization	summarization	153	138
holidays and cultural events	holidays-and-seasonal-events	152	1255
gpt2	gpt2	149	44
aviation	aviation	146	499
robotics	robotics	146	702
china	china	142	381
retrieval question answering	retrieval-question-answering	141	143
puzzles	puzzles	140	903
indonesian	indonesian	139	474
os	os	138	33
japanese	japanese	138	99
whisper	whisper	138	29
vgg-style	vgg-style	135	26
culture and humanities	culture-and-humanities	128	699
turkish	turkish	127	248
sentence similarity	sentence-similarity	126	79
africa	africa	125	623
convolution	convolution	123	49
coding	coding	122	145
search engines	search-engines	119	149
russian	russian	118	240
manufacturing	manufacturing	115	2740
canada	canada	113	325
military	military	110	2685
russia	russia	109	355
hospitals and treatment centers	hospitals-and-treatment-centers	108	1075
vision transformer	vision-transformer	108	53
graph neural network	graph-neural-network	107	133
distance	distance	103	35
water bodies	bodies-of-water	102	272
tidyr	tidyr	101	21
australia	australia	99	292
mobilenet v2	mobilenet-v2	99	25
korea	south-korea	96	118
popular culture	popular-culture	93	497
vietnamese	vietnamese	93	195
vit	vit	91	25
forcats	forcats	89	47
dentistry	dentistry	89	1616
distilbert	distilbert	88	18
estonian	estonian	86	12
efficientnet-b0	efficientnet-b0	82	21
forestry	forestry	81	569
automatic speech recognition	automatic-speech-recognition	80	242
wandb	wandb	80	10
north america	north-america	78	394
general knowledge and reasoning	general-knowledge-and-reasoning	77	133
word2vec skip-gram	word2vec-skip-gram	77	17
mortality	mortality	74	192
french	french	74	185
multi-head attention	multi-head-attention	72	7
text-to-image	text-to-image	71	84
german	german	70	127
image text recognition	image-text-recognition	68	179
bengali	bengali	68	268
roberta	roberta	66	16
batch normalization	batch-normalization	66	22
video generation	video-generation	64	52
convnext	convnext	64	25
fish and aquaria	fish-and-aquaria	63	529
image-to-text	image-to-text	63	201
retinanet	retinanet	62	3
resnet50-v2	resnet50-v2	62	8
readr	readr	61	18
inception v3	inception-v3	61	7
token classification	token-classification	61	66
physical science	physical-sciences	60	100
speech-to-text	speech-to-text	58	137
card games	card-games	57	301
text-to-speech	text-to-speech	56	105
densenet	densenet	56	20
image-to-image	image-to-image	56	95
uzbek	uzbek	56	31
water transport	water-transport	55	466
celebrities	celebrity	55	933
re	re	54	27
vae	vae	54	24
philosophy	philosophy	52	249
south america	south-america	52	290
faster r-cnn	faster-r-cnn	51	14
martial arts	martial-arts	50	580
text conversation	text-conversation	50	119
